DATE,UNRATE
2015-02-25,5.414285714285715
2015-02-26,5.4107142857142865
2015-02-27,5.4071428571428575
2015-02-28,5.4035714285714285
2015-03-01,5.4
2015-03-02,5.4
2015-03-03,5.4
2015-03-04,5.4
2015-03-05,5.4
2015-03-06,5.4
2015-03-07,5.4
2015-03-08,5.4
2015-03-09,5.4
2015-03-10,5.4
2015-03-11,5.4
2015-03-12,5.4
2015-03-13,5.4
2015-03-14,5.4
2015-03-15,5.4
2015-03-16,5.4
2015-03-17,5.4
2015-03-18,5.4
2015-03-19,5.4
2015-03-20,5.4
2015-03-21,5.4
2015-03-22,5.4
2015-03-23,5.4
2015-03-24,5.4
2015-03-25,5.4
2015-03-26,5.4
2015-03-27,5.4
2015-03-28,5.4
2015-03-29,5.4
2015-03-30,5.4
2015-03-31,5.4
2015-04-01,5.4
2015-04-02,5.406666666666667
2015-04-03,5.413333333333334
2015-04-04,5.42
2015-04-05,5.426666666666667
2015-04-06,5.433333333333334
2015-04-07,5.44
2015-04-08,5.446666666666667
2015-04-09,5.453333333333333
2015-04-10,5.46
2015-04-11,5.466666666666667
2015-04-12,5.473333333333334
2015-04-13,5.48
2015-04-14,5.486666666666666
2015-04-15,5.493333333333333
2015-04-16,5.5
2015-04-17,5.506666666666667
2015-04-18,5.513333333333334
2015-04-19,5.52
2015-04-20,5.526666666666666
2015-04-21,5.533333333333333
2015-04-22,5.54
2015-04-23,5.546666666666667
2015-04-24,5.553333333333333
2015-04-25,5.56
2015-04-26,5.566666666666666
2015-04-27,5.573333333333333
2015-04-28,5.58
2015-04-29,5.586666666666666
2015-04-30,5.593333333333333
2015-05-01,5.6
2015-05-02,5.590322580645161
2015-05-03,5.580645161290322
2015-05-04,5.570967741935483
2015-05-05,5.5612903225806445
2015-05-06,5.551612903225806
2015-05-07,5.541935483870968
2015-05-08,5.532258064516129
2015-05-09,5.52258064516129
2015-05-10,5.512903225806451
2015-05-11,5.503225806451613
2015-05-12,5.493548387096774
2015-05-13,5.483870967741935
2015-05-14,5.474193548387096
2015-05-15,5.4645161290322575
2015-05-16,5.454838709677419
2015-05-17,5.445161290322581
2015-05-18,5.435483870967742
2015-05-19,5.425806451612903
2015-05-20,5.416129032258064
2015-05-21,5.406451612903226
2015-05-22,5.396774193548387
2015-05-23,5.387096774193548
2015-05-24,5.377419354838709
2015-05-25,5.3677419354838705
2015-05-26,5.358064516129032
2015-05-27,5.348387096774194
2015-05-28,5.338709677419355
2015-05-29,5.329032258064516
2015-05-30,5.319354838709677
2015-05-31,5.309677419354839
2015-06-01,5.3
2015-06-02,5.296666666666667
2015-06-03,5.293333333333333
2015-06-04,5.29
2015-06-05,5.286666666666666
2015-06-06,5.283333333333333
2015-06-07,5.28
2015-06-08,5.276666666666666
2015-06-09,5.273333333333333
2015-06-10,5.27
2015-06-11,5.266666666666667
2015-06-12,5.263333333333334
2015-06-13,5.26
2015-06-14,5.256666666666667
2015-06-15,5.253333333333333
2015-06-16,5.25
2015-06-17,5.246666666666667
2015-06-18,5.243333333333333
2015-06-19,5.24
2015-06-20,5.236666666666666
2015-06-21,5.233333333333333
2015-06-22,5.23
2015-06-23,5.226666666666667
2015-06-24,5.223333333333334
2015-06-25,5.22
2015-06-26,5.216666666666667
2015-06-27,5.213333333333334
2015-06-28,5.21
2015-06-29,5.206666666666667
2015-06-30,5.203333333333333
2015-07-01,5.2
2015-07-02,5.1967741935483875
2015-07-03,5.193548387096774
2015-07-04,5.190322580645161
2015-07-05,5.187096774193549
2015-07-06,5.183870967741935
2015-07-07,5.180645161290323
2015-07-08,5.17741935483871
2015-07-09,5.174193548387096
2015-07-10,5.170967741935484
2015-07-11,5.167741935483871
2015-07-12,5.164516129032258
2015-07-13,5.161290322580645
2015-07-14,5.158064516129032
2015-07-15,5.154838709677419
2015-07-16,5.151612903225806
2015-07-17,5.148387096774194
2015-07-18,5.145161290322581
2015-07-19,5.141935483870967
2015-07-20,5.138709677419355
2015-07-21,5.135483870967742
2015-07-22,5.132258064516129
2015-07-23,5.129032258064516
2015-07-24,5.125806451612903
2015-07-25,5.12258064516129
2015-07-26,5.119354838709677
2015-07-27,5.116129032258065
2015-07-28,5.112903225806451
2015-07-29,5.109677419354838
2015-07-30,5.106451612903226
2015-07-31,5.103225806451612
2015-08-01,5.1
2015-08-02,5.096774193548387
2015-08-03,5.0935483870967735
2015-08-04,5.090322580645161
2015-08-05,5.087096774193548
2015-08-06,5.083870967741936
2015-08-07,5.080645161290322
2015-08-08,5.077419354838709
2015-08-09,5.074193548387097
2015-08-10,5.070967741935483
2015-08-11,5.067741935483871
2015-08-12,5.064516129032258
2015-08-13,5.061290322580645
2015-08-14,5.058064516129032
2015-08-15,5.054838709677419
2015-08-16,5.051612903225807
2015-08-17,5.048387096774193
2015-08-18,5.04516129032258
2015-08-19,5.041935483870968
2015-08-20,5.038709677419354
2015-08-21,5.035483870967742
2015-08-22,5.032258064516129
2015-08-23,5.029032258064516
2015-08-24,5.025806451612903
2015-08-25,5.02258064516129
2015-08-26,5.019354838709678
2015-08-27,5.016129032258064
2015-08-28,5.012903225806451
2015-08-29,5.009677419354839
2015-08-30,5.006451612903226
2015-08-31,5.003225806451613
2015-09-01,5.0
2015-09-02,5.0
2015-09-03,5.0
2015-09-04,5.0
2015-09-05,5.0
2015-09-06,5.0
2015-09-07,5.0
2015-09-08,5.0
2015-09-09,5.0
2015-09-10,5.0
2015-09-11,5.0
2015-09-12,5.0
2015-09-13,5.0
2015-09-14,5.0
2015-09-15,5.0
2015-09-16,5.0
2015-09-17,5.0
2015-09-18,5.0
2015-09-19,5.0
2015-09-20,5.0
2015-09-21,5.0
2015-09-22,5.0
2015-09-23,5.0
2015-09-24,5.0
2015-09-25,5.0
2015-09-26,5.0
2015-09-27,5.0
2015-09-28,5.0
2015-09-29,5.0
2015-09-30,5.0
2015-10-01,5.0
2015-10-02,5.003225806451613
2015-10-03,5.006451612903226
2015-10-04,5.009677419354839
2015-10-05,5.012903225806451
2015-10-06,5.016129032258064
2015-10-07,5.019354838709678
2015-10-08,5.02258064516129
2015-10-09,5.025806451612903
2015-10-10,5.029032258064516
2015-10-11,5.032258064516129
2015-10-12,5.035483870967742
2015-10-13,5.038709677419354
2015-10-14,5.041935483870968
2015-10-15,5.04516129032258
2015-10-16,5.048387096774193
2015-10-17,5.051612903225807
2015-10-18,5.054838709677419
2015-10-19,5.058064516129032
2015-10-20,5.061290322580645
2015-10-21,5.064516129032258
2015-10-22,5.067741935483871
2015-10-23,5.070967741935483
2015-10-24,5.074193548387097
2015-10-25,5.077419354838709
2015-10-26,5.080645161290322
2015-10-27,5.083870967741936
2015-10-28,5.087096774193548
2015-10-29,5.090322580645161
2015-10-30,5.0935483870967735
2015-10-31,5.096774193548387
2015-11-01,5.1
2015-11-02,5.096666666666667
2015-11-03,5.093333333333333
2015-11-04,5.09
2015-11-05,5.086666666666666
2015-11-06,5.083333333333333
2015-11-07,5.08
2015-11-08,5.076666666666666
2015-11-09,5.073333333333333
2015-11-10,5.069999999999999
2015-11-11,5.066666666666666
2015-11-12,5.0633333333333335
2015-11-13,5.06
2015-11-14,5.056666666666667
2015-11-15,5.053333333333333
2015-11-16,5.05
2015-11-17,5.046666666666667
2015-11-18,5.043333333333333
2015-11-19,5.04
2015-11-20,5.036666666666666
2015-11-21,5.033333333333333
2015-11-22,5.03
2015-11-23,5.026666666666666
2015-11-24,5.023333333333333
2015-11-25,5.02
2015-11-26,5.016666666666667
2015-11-27,5.013333333333334
2015-11-28,5.01
2015-11-29,5.006666666666667
2015-11-30,5.003333333333333
2015-12-01,5.0
2015-12-02,4.996774193548387
2015-12-03,4.993548387096774
2015-12-04,4.990322580645161
2015-12-05,4.987096774193549
2015-12-06,4.983870967741936
2015-12-07,4.980645161290322
2015-12-08,4.97741935483871
2015-12-09,4.974193548387097
2015-12-10,4.970967741935484
2015-12-11,4.967741935483871
2015-12-12,4.964516129032258
2015-12-13,4.961290322580646
2015-12-14,4.958064516129032
2015-12-15,4.95483870967742
2015-12-16,4.951612903225807
2015-12-17,4.948387096774193
2015-12-18,4.945161290322581
2015-12-19,4.941935483870968
2015-12-20,4.938709677419355
2015-12-21,4.935483870967742
2015-12-22,4.932258064516129
2015-12-23,4.929032258064517
2015-12-24,4.925806451612903
2015-12-25,4.922580645161291
2015-12-26,4.919354838709678
2015-12-27,4.916129032258064
2015-12-28,4.912903225806452
2015-12-29,4.909677419354839
2015-12-30,4.9064516129032265
2015-12-31,4.903225806451613
2016-01-01,4.9
2016-01-02,4.9
2016-01-03,4.9
2016-01-04,4.9
2016-01-05,4.9
2016-01-06,4.9
2016-01-07,4.9
2016-01-08,4.9
2016-01-09,4.9
2016-01-10,4.9
2016-01-11,4.9
2016-01-12,4.9
