Date,MSPUS
2017-02-02,314913.3333333333
2017-02-03,314970.0
2017-02-04,315026.6666666667
2017-02-05,315083.3333333333
2017-02-06,315140.0
2017-02-07,315196.6666666667
2017-02-08,315253.3333333333
2017-02-09,315310.0
2017-02-10,315366.6666666667
2017-02-11,315423.3333333333
2017-02-12,315480.0
2017-02-13,315536.6666666667
2017-02-14,315593.3333333333
2017-02-15,315650.0
2017-02-16,315706.6666666667
2017-02-17,315763.3333333333
2017-02-18,315820.0
2017-02-19,315876.6666666667
2017-02-20,315933.3333333333
2017-02-21,315990.0
2017-02-22,316046.6666666667
2017-02-23,316103.3333333333
2017-02-24,316160.0
2017-02-25,316216.6666666667
2017-02-26,316273.3333333333
2017-02-27,316330.0
2017-02-28,316386.6666666667
2017-03-01,316443.3333333333
2017-03-02,316500.0
