Date,Technical Analysis
2016-04-26,19.61
2016-04-27,25.970000000000002
2016-04-28,13.25
2016-04-29,13.780000000000001
2016-04-30,39.75
2016-05-01,42.0
2016-05-02,0.0
2016-05-03,34.5
2016-05-04,20.5
2016-05-05,14.0
2016-05-06,29.5
2016-05-07,26.0
2016-05-08,9.0
2016-05-09,50.0
2016-05-10,7.0
2016-05-11,7.0
2016-05-12,43.5
2016-05-13,15.0
2016-05-14,9.0
2016-05-15,8.5
2016-05-16,29.0
2016-05-17,21.0
2016-05-18,28.5
2016-05-19,14.5
2016-05-20,37.5
2016-05-21,0.0
2016-05-22,9.0
2016-05-23,0.0
2016-05-24,28.5
2016-05-25,44.0
2016-05-26,15.0
2016-05-27,7.5
2016-05-28,9.0
2016-05-29,9.5
2016-05-30,17.0
2016-05-31,7.0
2016-06-01,0.0
2016-06-02,19.11
2016-06-03,14.43
2016-06-04,10.92
2016-06-05,0.0
2016-06-06,18.72
2016-06-07,9.36
2016-06-08,9.36
