Date,ASPUS
2014-09-08,362150.0
2014-09-09,362465.2173913043
2014-09-10,362780.4347826087
2014-09-11,363095.652173913
2014-09-12,363410.8695652174
2014-09-13,363726.0869565217
2014-09-14,364041.3043478261
2014-09-15,364356.52173913043
2014-09-16,364671.73913043475
2014-09-17,364986.95652173914
2014-09-18,365302.17391304346
2014-09-19,365617.39130434784
2014-09-20,365932.60869565216
2014-09-21,366247.82608695654
2014-09-22,366563.04347826086
2014-09-23,366878.2608695652
2014-09-24,367193.47826086957
2014-09-25,367508.6956521739
2014-09-26,367823.9130434783
2014-09-27,368139.1304347826
2014-09-28,368454.347826087
2014-09-29,368769.5652173913
2014-09-30,369084.7826086957
2014-10-01,369400.0
2014-10-02,369167.39130434784
2014-10-03,368934.7826086957
2014-10-04,368702.17391304346
2014-10-05,368469.5652173913
2014-10-06,368236.95652173914
2014-10-07,368004.347826087
2014-10-08,367771.73913043475
2014-10-09,367539.1304347826
2014-10-10,367306.52173913043
2014-10-11,367073.9130434783
2014-10-12,366841.3043478261
2014-10-13,366608.6956521739
2014-10-14,366376.0869565217
2014-10-15,366143.47826086957
2014-10-16,365910.8695652174
2014-10-17,365678.26086956525
2014-10-18,365445.652173913
2014-10-19,365213.04347826086
2014-10-20,364980.4347826087
2014-10-21,364747.82608695654
2014-10-22,364515.2173913043
2014-10-23,364282.60869565216
2014-10-24,364050.0
2014-10-25,363817.39130434784
2014-10-26,363584.7826086957
2014-10-27,363352.17391304346
2014-10-28,363119.5652173913
2014-10-29,362886.95652173914
2014-10-30,362654.347826087
2014-10-31,362421.73913043475
2014-11-01,362189.1304347826
2014-11-02,361956.52173913043
2014-11-03,361723.9130434783
2014-11-04,361491.3043478261
2014-11-05,361258.6956521739
2014-11-06,361026.0869565217
2014-11-07,360793.47826086957
2014-11-08,360560.8695652174
2014-11-09,360328.26086956525
2014-11-10,360095.652173913
2014-11-11,359863.04347826086
2014-11-12,359630.4347826087
2014-11-13,359397.82608695654
2014-11-14,359165.2173913043
2014-11-15,358932.60869565216
2014-11-16,358700.0
2014-11-17,358467.39130434784
2014-11-18,358234.7826086957
2014-11-19,358002.17391304346
2014-11-20,357769.5652173913
2014-11-21,357536.95652173914
2014-11-22,357304.347826087
2014-11-23,357071.73913043475
2014-11-24,356839.1304347826
2014-11-25,356606.52173913043
2014-11-26,356373.9130434783
2014-11-27,356141.3043478261
2014-11-28,355908.6956521739
2014-11-29,355676.0869565217
2014-11-30,355443.47826086957
2014-12-01,355210.8695652174
2014-12-02,354978.26086956525
2014-12-03,354745.652173913
2014-12-04,354513.04347826086
2014-12-05,354280.4347826087
2014-12-06,354047.82608695654
2014-12-07,353815.2173913043
2014-12-08,353582.60869565216
2014-12-09,353350.0
2014-12-10,353117.39130434784
2014-12-11,352884.7826086957
2014-12-12,352652.17391304346
2014-12-13,352419.5652173913
2014-12-14,352186.95652173914
2014-12-15,351954.347826087
2014-12-16,351721.7391304348
2014-12-17,351489.1304347826
2014-12-18,351256.52173913043
2014-12-19,351023.9130434783
2014-12-20,350791.3043478261
2014-12-21,350558.6956521739
2014-12-22,350326.0869565217
2014-12-23,350093.47826086957
2014-12-24,349860.8695652174
2014-12-25,349628.2608695652
2014-12-26,349395.652173913
2014-12-27,349163.04347826086
2014-12-28,348930.4347826087
2014-12-29,348697.82608695654
2014-12-30,348465.2173913043
2014-12-31,348232.60869565216
2015-01-01,348000.0
2015-01-02,347907.77777777775
2015-01-03,347815.55555555556
2015-01-04,347723.3333333333
2015-01-05,347631.1111111111
2015-01-06,347538.8888888889
2015-01-07,347446.6666666667
2015-01-08,347354.44444444444
2015-01-09,347262.22222222225
2015-01-10,347170.0
2015-01-11,347077.77777777775
2015-01-12,346985.55555555556
2015-01-13,346893.3333333333
2015-01-14,346801.1111111111
2015-01-15,346708.8888888889
2015-01-16,346616.6666666667
2015-01-17,346524.44444444444
2015-01-18,346432.22222222225
2015-01-19,346340.0
2015-01-20,346247.77777777775
2015-01-21,346155.55555555556
2015-01-22,346063.3333333333
2015-01-23,345971.1111111111
2015-01-24,345878.8888888889
2015-01-25,345786.6666666667
2015-01-26,345694.44444444444
2015-01-27,345602.22222222225
2015-01-28,345510.0
2015-01-29,345417.77777777775
2015-01-30,345325.55555555556
