Date,Movies
2016-03-01,34.5
2016-03-02,33.75
2016-03-03,33.75
2016-03-04,43.5
2016-03-05,74.25
2016-03-06,71.25
2016-03-07,39.75
2016-03-08,35.25
2016-03-09,33.75
2016-03-10,36.0
2016-03-11,42.75
2016-03-12,69.75
2016-03-13,72.0
2016-03-14,41.25
2016-03-15,36.75
2016-03-16,35.25
2016-03-17,36.75
2016-03-18,45.75
2016-03-19,69.75
2016-03-20,68.25
2016-03-21,41.25
2016-03-22,38.25
2016-03-23,36.75
2016-03-24,42.0
2016-03-25,60.75
2016-03-26,71.25
2016-03-27,75.0
2016-03-28,47.25
2016-03-29,42.0
2016-03-30,39.0
2016-03-31,38.25
2016-04-01,50.25
2016-04-02,75.0
2016-04-03,69.75
2016-04-04,39.75
2016-04-05,35.25
2016-04-06,36.0
2016-04-07,37.5
2016-04-08,47.25
2016-04-09,72.75
2016-04-10,72.0
2016-04-11,40.5
2016-04-12,36.75
2016-04-13,35.25
2016-04-14,36.0
2016-04-15,47.25
2016-04-16,72.0
2016-04-17,71.25
2016-04-18,39.0
2016-04-19,36.0
2016-04-20,35.25
2016-04-21,36.75
2016-04-22,46.5
2016-04-23,71.25
2016-04-24,66.75
2016-04-25,38.25
2016-04-26,36.0
2016-04-27,34.5
2016-04-28,36.0
2016-04-29,43.5
2016-04-30,73.5
2016-05-01,67.2
2016-05-02,36.800000000000004
2016-05-03,33.6
2016-05-04,32.800000000000004
2016-05-05,35.2
2016-05-06,45.6
2016-05-07,67.2
2016-05-08,71.2
2016-05-09,40.0
2016-05-10,36.800000000000004
2016-05-11,36.0
2016-05-12,36.0
2016-05-13,48.800000000000004
2016-05-14,72.8
2016-05-15,72.0
2016-05-16,41.6
2016-05-17,37.6
2016-05-18,36.0
2016-05-19,36.800000000000004
2016-05-20,48.0
2016-05-21,69.60000000000001
2016-05-22,69.60000000000001
2016-05-23,40.800000000000004
2016-05-24,39.2
2016-05-25,37.6
2016-05-26,40.0
2016-05-27,51.2
2016-05-28,70.4
2016-05-29,80.0
2016-05-30,75.2
2016-05-31,44.0
2016-06-01,47.3
2016-06-02,47.3
2016-06-03,60.199999999999996
2016-06-04,83.42
2016-06-05,83.42
2016-06-06,51.6
2016-06-07,52.46
2016-06-08,48.16
2016-06-09,50.74
2016-06-10,61.92
2016-06-11,85.14
2016-06-12,83.42
2016-06-13,55.04
2016-06-14,52.46
2016-06-15,50.74
2016-06-16,51.6
2016-06-17,65.36
2016-06-18,84.28
2016-06-19,85.14
2016-06-20,55.04
2016-06-21,55.04
2016-06-22,54.18
2016-06-23,53.32
2016-06-24,61.06
2016-06-25,86.0
2016-06-26,82.56
2016-06-27,53.32
2016-06-28,55.04
2016-06-29,53.32
2016-06-30,55.04
2016-07-01,66.96000000000001
2016-07-02,85.56
2016-07-03,92.07000000000001
2016-07-04,86.49000000000001
2016-07-05,62.31
2016-07-06,55.800000000000004
