Date,Return on Equity
2019-07-28,15.040000000000001
2019-07-29,32.0
2019-07-30,19.2
2019-07-31,12.8
2019-08-01,18.48
2019-08-02,19.32
2019-08-03,17.080000000000002
2019-08-04,17.080000000000002
2019-08-05,22.400000000000002
2019-08-06,14.840000000000002
2019-08-07,18.76
2019-08-08,14.840000000000002
2019-08-09,7.280000000000001
2019-08-10,17.080000000000002
2019-08-11,21.560000000000002
2019-08-12,21.840000000000003
2019-08-13,14.560000000000002
2019-08-14,14.000000000000002
2019-08-15,14.560000000000002
2019-08-16,25.480000000000004
2019-08-17,16.520000000000003
2019-08-18,0.0
2019-08-19,10.64
2019-08-20,17.64
2019-08-21,10.64
2019-08-22,14.280000000000001
2019-08-23,0.0
2019-08-24,12.600000000000001
2019-08-25,16.520000000000003
2019-08-26,28.000000000000004
2019-08-27,17.360000000000003
2019-08-28,7.000000000000001
2019-08-29,14.000000000000002
2019-08-30,13.72
2019-08-31,7.840000000000001
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,12.2
2019-09-04,18.91
2019-09-05,25.009999999999998
2019-09-06,12.2
2019-09-07,14.64
2019-09-08,28.669999999999998
2019-09-09,50.019999999999996
2019-09-10,31.11
2019-09-11,31.11
2019-09-12,18.91
2019-09-13,25.62
2019-09-14,37.82
2019-09-15,57.339999999999996
2019-09-16,29.89
2019-09-17,61.0
2019-09-18,48.8
2019-09-19,37.21
2019-09-20,12.2
2019-09-21,14.64
2019-09-22,43.92
2019-09-23,42.699999999999996
2019-09-24,25.009999999999998
2019-09-25,12.2
2019-09-26,50.629999999999995
2019-09-27,51.24
2019-09-28,38.43
2019-09-29,14.64
2019-09-30,37.82
2019-10-01,60.0
2019-10-02,33.0
2019-10-03,55.8
2019-10-04,34.8
2019-10-05,13.2
2019-10-06,22.2
2019-10-07,56.4
2019-10-08,37.199999999999996
2019-10-09,57.0
2019-10-10,26.4
2019-10-11,15.0
2019-10-12,36.6
2019-10-13,22.2
2019-10-14,30.599999999999998
2019-10-15,30.0
2019-10-16,34.199999999999996
2019-10-17,45.6
2019-10-18,7.8
2019-10-19,13.2
2019-10-20,39.0
2019-10-21,29.4
2019-10-22,14.399999999999999
2019-10-23,33.0
2019-10-24,30.0
2019-10-25,15.6
2019-10-26,23.4
2019-10-27,26.4
2019-10-28,54.0
2019-10-29,40.8
2019-10-30,58.8
2019-10-31,37.8
2019-11-01,6.38
2019-11-02,14.499999999999998
2019-11-03,13.919999999999998
2019-11-04,41.76
2019-11-05,17.98
2019-11-06,17.4
2019-11-07,17.4
2019-11-08,41.76
2019-11-09,20.88
2019-11-10,20.88
2019-11-11,48.13999999999999
2019-11-12,17.4
2019-11-13,23.2
2019-11-14,57.99999999999999
2019-11-15,17.4
2019-11-16,6.959999999999999
2019-11-17,27.259999999999998
2019-11-18,52.199999999999996
2019-11-19,23.779999999999998
2019-11-20,48.13999999999999
2019-11-21,23.779999999999998
2019-11-22,53.94
2019-11-23,13.34
2019-11-24,41.18
2019-11-25,41.76
2019-11-26,30.74
2019-11-27,19.139999999999997
2019-11-28,0.0
2019-11-29,13.34
2019-11-30,6.959999999999999
2019-12-01,36.5
2019-12-02,35.0
2019-12-03,32.0
2019-12-04,28.5
2019-12-05,45.0
2019-12-06,41.5
2019-12-07,19.5
2019-12-08,38.0
2019-12-09,50.0
2019-12-10,21.0
2019-12-11,12.5
2019-12-12,12.5
2019-12-13,16.5
2019-12-14,24.0
2019-12-15,5.0
2019-12-16,12.0
2019-12-17,29.0
2019-12-18,12.5
2019-12-19,4.0
2019-12-20,4.5
2019-12-21,10.0
2019-12-22,0.0
2019-12-23,4.5
2019-12-24,0.0
2019-12-25,0.0
2019-12-26,5.0
2019-12-27,9.0
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,4.5
2019-12-31,9.5
2020-01-01,0.0
2020-01-02,3.6300000000000003
2020-01-03,7.260000000000001
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,3.6300000000000003
2020-01-08,7.260000000000001
2020-01-09,7.260000000000001
2020-01-10,6.930000000000001
2020-01-11,3.96
2020-01-12,3.96
2020-01-13,3.3000000000000003
2020-01-14,9.24
2020-01-15,6.6000000000000005
2020-01-16,3.3000000000000003
2020-01-17,14.520000000000001
2020-01-18,3.96
2020-01-19,11.88
2020-01-20,0.0
2020-01-21,6.930000000000001
2020-01-22,13.860000000000001
2020-01-23,10.56
2020-01-24,10.56
2020-01-25,3.96
2020-01-26,15.180000000000001
2020-01-27,33.0
2020-01-28,17.490000000000002
2020-01-29,24.42
2020-01-30,21.45
2020-01-31,6.930000000000001
