Date,Market Timing
2015-09-12,36.72
2015-09-13,72.0
2015-09-14,28.799999999999997
2015-09-15,42.48
2015-09-16,28.08
2015-09-17,0.0
2015-09-18,29.52
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,56.16
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,28.799999999999997
2015-09-25,29.52
2015-09-26,0.0
2015-09-27,36.72
2015-09-28,41.76
2015-09-29,41.04
2015-09-30,28.08
2015-10-01,12.58
2015-10-02,0.0
2015-10-03,17.0
2015-10-04,16.66
2015-10-05,12.920000000000002
2015-10-06,0.0
2015-10-07,19.040000000000003
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,34.0
2015-10-11,0.0
2015-10-12,13.260000000000002
2015-10-13,12.58
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,12.920000000000002
2015-10-17,0.0
2015-10-18,16.32
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,12.58
2015-10-22,18.700000000000003
2015-10-23,0.0
2015-10-24,16.32
2015-10-25,16.32
2015-10-26,12.24
2015-10-27,12.24
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-10-31,16.32
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,24.64
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-07,0.0
2015-11-08,32.480000000000004
2015-11-09,49.84
2015-11-10,24.64
2015-11-11,26.320000000000004
2015-11-12,0.0
2015-11-13,53.2
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,49.84
2015-11-19,0.0
2015-11-20,25.76
2015-11-21,31.92
2015-11-22,0.0
2015-11-23,0.0
2015-11-24,25.76
2015-11-25,56.00000000000001
2015-11-26,33.040000000000006
2015-11-27,30.800000000000004
2015-11-28,31.92
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,18.36
2015-12-02,12.6
2015-12-03,12.6
2015-12-04,0.0
2015-12-05,16.56
2015-12-06,16.56
2015-12-07,12.6
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,25.2
2015-12-11,19.439999999999998
2015-12-12,0.0
2015-12-13,32.76
2015-12-14,12.6
2015-12-15,19.439999999999998
2015-12-16,12.959999999999999
2015-12-17,13.32
2015-12-18,14.399999999999999
2015-12-19,17.64
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,14.399999999999999
2015-12-23,15.12
2015-12-24,17.28
2015-12-25,0.0
2015-12-26,36.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,14.399999999999999
2015-12-30,14.76
2015-12-31,0.0
2016-01-01,26.22
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,0.0
2016-01-05,19.38
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,18.62
2016-01-12,0.0
2016-01-13,38.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,37.62
2016-01-20,38.0
2016-01-21,19.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,18.62
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,16.919999999999998
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-06,0.0
2016-02-07,20.52
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,17.28
2016-02-12,36.0
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,18.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,16.919999999999998
2016-02-23,33.839999999999996
2016-02-24,16.919999999999998
2016-02-25,0.0
2016-02-26,0.0
2016-02-27,21.24
2016-02-28,20.88
2016-02-29,0.0
2016-03-01,11.52
2016-03-02,11.52
2016-03-03,0.0
2016-03-04,48.0
2016-03-05,27.84
2016-03-06,0.0
2016-03-07,11.52
2016-03-08,12.0
2016-03-09,0.0
2016-03-10,24.0
2016-03-11,0.0
2016-03-12,14.399999999999999
2016-03-13,0.0
2016-03-14,12.0
2016-03-15,11.52
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,12.48
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.0
2016-03-22,12.0
2016-03-23,0.0
2016-03-24,18.72
2016-03-25,12.959999999999999
2016-03-26,14.879999999999999
2016-03-27,14.879999999999999
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,12.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,0.0
2016-04-03,14.8
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,12.209999999999999
2016-04-07,0.0
