Date,Interactive Media
2015-09-26,14.520000000000001
2015-09-27,13.860000000000001
2015-09-28,31.68
2015-09-29,42.24
2015-09-30,32.34
2015-10-01,31.200000000000003
2015-10-02,21.45
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,10.4
2015-10-06,10.4
2015-10-07,20.8
2015-10-08,21.45
2015-10-09,11.05
2015-10-10,0.0
2015-10-11,13.65
2015-10-12,65.0
2015-10-13,20.8
2015-10-14,0.0
2015-10-15,20.8
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,26.650000000000002
2015-10-19,0.0
2015-10-20,20.150000000000002
2015-10-21,40.95
2015-10-22,20.8
2015-10-23,32.5
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,10.4
2015-10-27,29.900000000000002
2015-10-28,0.0
2015-10-29,10.4
2015-10-30,0.0
2015-10-31,13.65
2015-11-01,0.0
2015-11-02,20.8
2015-11-03,30.55
2015-11-04,10.4
2015-11-05,0.0
2015-11-06,32.5
2015-11-07,13.65
2015-11-08,0.0
2015-11-09,10.4
2015-11-10,40.95
2015-11-11,11.05
2015-11-12,65.0
2015-11-13,22.1
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,52.0
2015-11-19,31.200000000000003
2015-11-20,11.05
2015-11-21,0.0
2015-11-22,13.65
2015-11-23,10.4
2015-11-24,11.05
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,20.150000000000002
2015-12-01,29.89
2015-12-02,59.78
2015-12-03,30.5
2015-12-04,0.0
2015-12-05,20.13
2015-12-06,19.52
2015-12-07,15.25
2015-12-08,15.25
2015-12-09,29.89
2015-12-10,30.5
2015-12-11,31.72
2015-12-12,20.13
2015-12-13,19.52
2015-12-14,61.0
2015-12-15,46.97
2015-12-16,0.0
2015-12-17,15.86
2015-12-18,34.16
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,17.08
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,17.69
2015-12-29,17.08
2015-12-30,17.69
2015-12-31,0.0
2016-01-01,22.419999999999998
2016-01-02,59.0
2016-01-03,0.0
2016-01-04,33.04
2016-01-05,0.0
2016-01-06,33.629999999999995
2016-01-07,16.52
2016-01-08,50.739999999999995
2016-01-09,37.76
2016-01-10,17.7
2016-01-11,47.79
2016-01-12,31.86
2016-01-13,48.97
2016-01-14,15.34
2016-01-15,33.04
2016-01-16,0.0
2016-01-17,56.64
2016-01-18,17.11
2016-01-19,48.379999999999995
2016-01-20,15.93
2016-01-21,16.52
2016-01-22,16.52
2016-01-23,0.0
2016-01-24,18.88
2016-01-25,48.379999999999995
2016-01-26,15.93
2016-01-27,16.52
2016-01-28,32.449999999999996
2016-01-29,16.52
2016-01-30,39.53
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,29.5
2016-02-03,46.019999999999996
2016-02-04,30.68
2016-02-05,47.199999999999996
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,29.5
2016-02-09,0.0
2016-02-10,14.75
2016-02-11,30.68
2016-02-12,0.0
2016-02-13,18.29
2016-02-14,0.0
2016-02-15,31.86
2016-02-16,14.75
2016-02-17,30.68
2016-02-18,30.09
2016-02-19,31.86
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,0.0
2016-02-23,30.09
2016-02-24,44.839999999999996
2016-02-25,15.34
2016-02-26,31.27
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,59.0
2016-03-01,52.25000000000001
2016-03-02,39.050000000000004
2016-03-03,39.6
2016-03-04,26.950000000000003
2016-03-05,0.0
2016-03-06,15.950000000000001
2016-03-07,26.400000000000002
2016-03-08,26.400000000000002
2016-03-09,13.200000000000001
2016-03-10,13.750000000000002
2016-03-11,27.500000000000004
2016-03-12,32.45
2016-03-13,15.950000000000001
2016-03-14,26.950000000000003
2016-03-15,13.200000000000001
2016-03-16,53.900000000000006
2016-03-17,27.500000000000004
2016-03-18,42.900000000000006
2016-03-19,0.0
2016-03-20,31.900000000000002
2016-03-21,55.00000000000001
2016-03-22,26.950000000000003
2016-03-23,13.750000000000002
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,16.5
2016-03-27,17.05
2016-03-28,0.0
2016-03-29,54.45
2016-03-30,27.500000000000004
2016-03-31,13.750000000000002
2016-04-01,28.4
2016-04-02,17.04
2016-04-03,33.37
2016-04-04,14.2
2016-04-05,0.0
2016-04-06,41.89
2016-04-07,41.89
2016-04-08,0.0
2016-04-09,17.04
2016-04-10,17.04
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,42.599999999999994
2016-04-14,14.2
2016-04-15,44.019999999999996
2016-04-16,0.0
2016-04-17,17.75
2016-04-18,71.0
2016-04-19,56.089999999999996
2016-04-20,0.0
2016-04-21,27.689999999999998
2016-04-22,28.4
2016-04-23,34.79
2016-04-24,17.04
2016-04-25,41.89
2016-04-26,13.489999999999998
2016-04-27,41.18
2016-04-28,55.379999999999995
2016-04-29,14.2
2016-04-30,34.08
2016-05-01,24.96
2016-05-02,41.6
2016-05-03,10.24
2016-05-04,20.48
2016-05-05,32.0
2016-05-06,10.88
2016-05-07,0.0
2016-05-08,39.68
2016-05-09,53.120000000000005
2016-05-10,10.24
2016-05-11,64.0
2016-05-12,10.88
2016-05-13,21.76
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,10.88
2016-05-19,10.88
2016-05-20,33.92
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,10.88
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,33.92
2016-05-27,11.52
2016-05-28,0.0
2016-05-29,14.08
2016-05-30,0.0
2016-05-31,21.76
2016-06-01,22.4
2016-06-02,68.6
2016-06-03,46.9
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,22.4
2016-06-07,44.8
2016-06-08,23.099999999999998
2016-06-09,23.099999999999998
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,45.5
2016-06-14,44.8
2016-06-15,23.099999999999998
2016-06-16,23.099999999999998
2016-06-17,23.799999999999997
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,46.199999999999996
2016-06-21,45.5
2016-06-22,70.0
2016-06-23,0.0
2016-06-24,23.799999999999997
2016-06-25,0.0
2016-06-26,28.0
2016-06-27,0.0
2016-06-28,23.099999999999998
2016-06-29,23.099999999999998
2016-06-30,23.799999999999997
2016-07-01,10.5
2016-07-02,24.36
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,21.419999999999998
2016-07-06,30.66
2016-07-07,10.08
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,10.5
2016-07-12,10.5
2016-07-13,10.5
2016-07-14,19.74
2016-07-15,31.919999999999998
2016-07-16,12.18
2016-07-17,24.36
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,20.58
2016-07-21,42.0
2016-07-22,10.5
2016-07-23,0.0
2016-07-24,12.18
2016-07-25,40.74
2016-07-26,10.08
2016-07-27,20.16
2016-07-28,20.58
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,39.04
2016-08-02,0.0
2016-08-03,13.44
2016-08-04,13.44
2016-08-05,0.0
2016-08-06,16.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,14.08
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,16.0
2016-08-15,14.08
2016-08-16,14.08
2016-08-17,14.08
2016-08-18,43.52
2016-08-19,14.72
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,27.52
2016-08-23,28.16
2016-08-24,27.52
2016-08-25,12.8
2016-08-26,0.0
2016-08-27,15.36
2016-08-28,30.72
2016-08-29,50.56
2016-08-30,12.8
2016-08-31,64.0
2016-09-01,0.0
2016-09-02,26.650000000000002
2016-09-03,15.600000000000001
2016-09-04,0.0
2016-09-05,29.25
2016-09-06,65.0
2016-09-07,38.35
2016-09-08,65.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,13.0
2016-09-13,37.7
2016-09-14,12.35
2016-09-15,13.0
2016-09-16,26.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,37.7
2016-09-20,25.35
2016-09-21,63.050000000000004
2016-09-22,13.0
2016-09-23,13.0
2016-09-24,15.600000000000001
2016-09-25,14.950000000000001
2016-09-26,25.35
2016-09-27,25.35
2016-09-28,25.35
2016-09-29,13.0
2016-09-30,39.65
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,11.76
2016-10-04,23.52
2016-10-05,23.52
2016-10-06,11.76
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,24.5
2016-10-12,0.0
2016-10-13,49.0
2016-10-14,24.99
2016-10-15,14.7
2016-10-16,28.419999999999998
2016-10-17,11.76
2016-10-18,48.019999999999996
2016-10-19,12.25
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,29.89
2016-10-23,0.0
